Lat of Visit,Lon of Visit,Day of Week,Hour,Day,traj_id,user_id
0.429688555,0.08975395,Wed,16,9/9/2020,2,0
-0.064084084,0.089217969,Wed,17,9/9/2020,2,0
0.603830212,-0.046355963,Wed,18,9/9/2020,2,0
-1.636877376,0.088926462,Wed,19,9/9/2020,2,0
-0.054974859,-1.626818881,Wed,20,9/9/2020,2,0
-0.034353272,0.089643618,Wed,21,9/9/2020,2,0
-1.645586613,-0.786060378,Wed,22,9/9/2020,2,0
-0.45910729,-0.317889055,Wed,23,9/9/2020,2,0
0.825171935,0.616539526,Thu,0,9/10/2020,3,0
-0.050954229,0.282150156,Thu,1,9/10/2020,3,0
-1.641231995,-0.219922442,Thu,2,9/10/2020,3,0
-0.109360685,0.269282514,Thu,3,9/10/2020,3,0
0.017280912,-0.04168302,Thu,4,9/10/2020,3,0
0.431330903,0.617311171,Thu,5,9/10/2020,3,0
0.017280912,-0.073921861,Thu,6,9/10/2020,3,0
0.441433312,-0.786102308,Thu,7,9/10/2020,3,0
-0.054660748,0.568803457,Thu,8,9/10/2020,3,0
-0.038455375,-0.316657581,Thu,9,9/10/2020,3,0
8.217504165,0.616453788,Thu,10,9/10/2020,3,0
0.425026404,0.568230551,Thu,11,9/10/2020,3,0
0.606690599,0.568204899,Thu,12,9/10/2020,3,0
-0.108833556,-0.316041844,Thu,13,9/10/2020,3,0
-0.064844825,-0.04769109,Thu,14,9/10/2020,3,0
-0.059085309,-0.314194634,Thu,15,9/10/2020,3,0
0.015093168,0.087216319,Thu,16,9/10/2020,3,0
0.606114253,0.083906364,Thu,17,9/10/2020,3,0
0.605751368,-0.047176305,Thu,18,9/10/2020,3,0
0.011811552,-0.785724934,Thu,19,9/10/2020,3,0
-0.100399493,-2.848884382,Thu,20,9/10/2020,3,0
-0.052309409,-0.001198663,Thu,21,9/10/2020,3,0
3.012971274,-1.628319302,Thu,22,9/10/2020,3,0
0.43148984,-0.046355963,Thu,23,9/10/2020,3,0
-0.046913745,0.616167993,Sat,0,9/12/2020,4,0
0.824343911,0.650620585,Sat,1,9/12/2020,4,0
-0.029997004,-0.045869873,Sat,2,9/12/2020,4,0
0.443658128,-0.316257352,Sat,3,9/12/2020,4,0
-0.461270962,-0.122458189,Sat,4,9/12/2020,4,0
-0.063830486,-0.046160192,Sat,5,9/12/2020,4,0
0.824639634,-0.320598296,Sat,6,9/12/2020,4,0
-0.030587123,0.568555483,Sat,7,9/12/2020,4,0
-1.257307621,0.284904732,Sat,8,9/12/2020,4,0
0.011811552,-1.631363014,Sat,9,9/12/2020,4,0
0.604641367,-0.18988209,Sat,10,9/12/2020,4,0
-1.256834465,0.567931272,Sat,11,9/12/2020,4,0
-0.456302531,0.085009682,Sat,12,9/12/2020,4,0
0.591514078,0.568803457,Sat,13,9/12/2020,4,0
-0.032320502,-0.049244822,Sat,14,9/12/2020,4,0
-0.040112788,-0.04645051,Sat,15,9/12/2020,4,0
-0.034717955,0.286006563,Sat,16,9/12/2020,4,0
0.021474088,-0.785431421,Sat,17,9/12/2020,4,0
-0.105670783,0.56760634,Sat,18,9/12/2020,4,0
0.431542819,0.56832461,Sat,19,9/12/2020,4,0
0.606690599,0.090371611,Sat,20,9/12/2020,4,0
-0.038258668,-0.318689512,Sat,21,9/12/2020,4,0
-0.040225731,0.268637244,Sat,22,9/12/2020,4,0
0.01618704,0.463760651,Sat,23,9/12/2020,4,0
-0.454192283,0.093652278,Sun,0,9/13/2020,5,0
-0.03235748,0.615739301,Sun,1,9/13/2020,5,0
0.011082304,0.616739582,Sun,2,9/13/2020,5,0
0.443576733,-0.219922442,Sun,3,9/13/2020,5,0
1.358510425,0.089758739,Sun,4,9/13/2020,5,0
0.425821089,-0.785942973,Sun,5,9/13/2020,5,0
0.429847492,-0.014980485,Sun,6,9/13/2020,5,0
-0.054409459,1.291954533,Sun,7,9/13/2020,5,0
0.606583868,-0.09709078,Sun,8,9/13/2020,5,0
0.443359677,-0.785431421,Sun,9,9/13/2020,5,0
0.443603864,0.616896769,Sun,10,9/13/2020,5,0
-0.212416688,-0.046232771,Sun,11,9/13/2020,5,0
0.425556194,1.345893533,Sun,12,9/13/2020,5,0
-0.458065522,0.089975046,Sun,13,9/13/2020,5,0
-0.105670783,0.083354705,Sun,14,9/13/2020,5,0
0.431066008,0.090804226,Sun,15,9/13/2020,5,0
0.603702135,0.089758739,Sun,16,9/13/2020,5,0
-1.639737763,-0.046595669,Sun,17,9/13/2020,5,0
-0.053467126,-0.312162703,Sun,18,9/13/2020,5,0
0.432708357,-0.0930854,Sun,19,9/13/2020,5,0
0.443630996,-0.175195696,Sun,20,9/13/2020,5,0
0.642765629,-0.786068764,Sun,21,9/13/2020,5,0
0.443875183,-0.046160192,Sun,22,9/13/2020,5,0
0.422218518,1.345222646,Sun,23,9/13/2020,5,0
-0.064280166,0.568033882,Mon,0,9/14/2020,6,0
-1.256408624,0.2828388,Mon,1,9/14/2020,6,0
0.825065474,-0.155836358,Mon,2,9/14/2020,6,0
0.200342548,-0.786068764,Mon,3,9/14/2020,6,0
0.605004252,0.091993919,Mon,4,9/14/2020,6,0
-0.06678544,-0.04168302,Mon,5,9/14/2020,6,0
0.431542819,0.269588169,Mon,6,9/14/2020,6,0
0.431013029,0.269248553,Mon,7,9/14/2020,6,0
-0.039635612,0.278477389,Mon,8,9/14/2020,6,0
-0.03288516,0.090407662,Mon,9,9/14/2020,6,0
-0.459481258,-0.313578898,Mon,10,9/14/2020,6,0
-0.053529948,-0.057036977,Mon,11,9/14/2020,6,0
0.443576733,1.288013818,Mon,12,9/14/2020,6,0
0.443658128,0.617211143,Mon,13,9/14/2020,6,0
0.610511564,-0.474978343,Mon,14,9/14/2020,6,0
-0.613243083,-0.316349713,Mon,15,9/14/2020,6,0
0.824604147,-0.785934587,Mon,16,9/14/2020,6,0
-0.086167012,1.920714059,Mon,17,9/14/2020,6,0
-0.03235748,0.281691061,Mon,18,9/14/2020,6,0
0.42889387,0.56811939,Mon,19,9/14/2020,6,0
-0.050514481,-0.315918697,Mon,20,9/14/2020,6,0
0.026396512,-1.627118965,Mon,21,9/14/2020,6,0
-0.047905073,0.617311171,Mon,22,9/14/2020,6,0
0.03259512,-0.059039668,Mon,23,9/14/2020,6,0
-1.47601835,-0.048192418,Tue,0,9/15/2020,7,0
0.60797137,0.56811939,Tue,1,9/15/2020,7,0
-0.068670107,0.568461424,Tue,2,9/15/2020,7,0
-0.458199082,-0.268654569,Tue,3,9/15/2020,7,0
0.825124619,-1.818385614,Tue,4,9/15/2020,7,0
-0.048487395,0.282609252,Tue,5,9/15/2020,7,0
-0.033144305,-0.088412456,Tue,6,9/15/2020,7,0
-0.708882714,0.268942898,Tue,7,9/15/2020,7,0
0.021291776,0.61788276,Tue,8,9/15/2020,7,0
0.01345236,0.0982495,Tue,9,9/15/2020,7,0
-0.459320986,-0.047357754,Tue,10,9/15/2020,7,0
-0.46968524,0.087767978,Tue,11,9/15/2020,7,0
-0.104089396,0.568965923,Tue,12,9/15/2020,7,0
0.604812136,-0.33607847,Tue,13,9/15/2020,7,0
-0.037176564,0.078941433,Tue,14,9/15/2020,7,0
-0.459320986,0.268399513,Tue,15,9/15/2020,7,0
-0.072750042,0.615339189,Tue,16,9/15/2020,7,0
0.61198445,-0.049571429,Tue,17,9/15/2020,7,0
-0.052986999,0.617168274,Tue,18,9/15/2020,7,0
-0.055358564,0.07497771,Tue,19,9/15/2020,7,0
-0.055980015,0.086113,Tue,20,9/15/2020,7,0
0.642765629,0.089422955,Tue,21,9/15/2020,7,0
-0.036291606,-0.04645051,Tue,22,9/15/2020,7,0
0.441948818,-0.31453329,Tue,23,9/15/2020,7,0
0.430854092,1.289984176,Wed,0,9/16/2020,8,0
-0.10725217,-1.629419611,Wed,1,9/16/2020,8,0
0.020380216,0.267584435,Wed,2,9/16/2020,8,0
-0.054597926,-0.046087612,Wed,3,9/16/2020,8,0
-0.052838903,0.568632441,Wed,4,9/16/2020,8,0
0.607117523,-0.785934587,Wed,5,9/16/2020,8,0
0.431860693,0.568803457,Wed,6,9/16/2020,8,0
-0.45790525,0.268908937,Wed,7,9/16/2020,8,0
0.458712312,-0.809315008,Wed,8,9/16/2020,8,0
0.606050214,0.087657646,Wed,9,9/16/2020,8,0
-0.103562267,0.092210226,Wed,10,9/16/2020,8,0
-0.459935362,0.282471524,Wed,11,9/16/2020,8,0
0.603488674,0.085009682,Wed,12,9/16/2020,8,0
-0.058972378,0.279074213,Wed,13,9/16/2020,8,0
-0.116213362,-0.064380175,Wed,14,9/16/2020,8,0
0.097404389,-0.048410157,Wed,15,9/16/2020,8,0
-0.45870661,-0.315733976,Wed,16,9/16/2020,8,0
-0.035111368,-0.045978743,Wed,17,9/16/2020,8,0
0.605345791,0.269214591,Wed,18,9/16/2020,8,0
-0.459294274,0.568273305,Wed,19,9/16/2020,8,0
-0.028423354,1.345054924,Wed,20,9/16/2020,8,0
-0.01184183,0.268908937,Wed,21,9/16/2020,8,0
0.42942366,-1.707515433,Wed,22,9/16/2020,8,0
-0.034324543,0.568230551,Wed,23,9/16/2020,8,0
0.443712392,0.614739021,Thu,0,9/17/2020,9,0
-0.028816767,0.088424841,Thu,1,9/17/2020,9,0
0.43148984,-0.047067436,Thu,2,9/17/2020,9,0
-0.039635612,0.281231965,Thu,3,9/17/2020,9,0
0.606178291,-0.312932374,Thu,4,9/17/2020,9,0
-0.11726762,0.568444322,Thu,5,9/17/2020,9,0
-0.052957888,-1.014698755,Thu,6,9/17/2020,9,0
-0.039832319,0.568307509,Thu,7,9/17/2020,9,0
0.605196367,0.616639554,Thu,8,9/17/2020,9,0
-0.031177242,-2.096065564,Thu,9,9/17/2020,9,0
0.020015592,-0.309237954,Thu,10,9/17/2020,9,0
-0.031964067,0.087216319,Thu,11,9/17/2020,9,0
-1.26535128,0.087216319,Thu,12,9/17/2020,9,0
-0.051631819,0.276641005,Thu,13,9/17/2020,9,0
0.603488674,0.567956924,Thu,14,9/17/2020,9,0
0.822522259,0.568375915,Thu,15,9/17/2020,9,0
-0.462579849,0.083774225,Thu,16,9/17/2020,9,0
-1.920398744,-0.0479021,Thu,17,9/17/2020,9,0
0.430854092,0.61531061,Thu,18,9/17/2020,9,0
-0.04971198,-1.137780074,Thu,19,9/17/2020,9,0
-0.029997004,-0.318504791,Thu,20,9/17/2020,9,0
-0.45723745,1.344803341,Thu,21,9/17/2020,9,0
0.025849576,0.088926462,Thu,22,9/17/2020,9,0
2.369032862,0.240834045,Thu,23,9/17/2020,9,0
-0.053906881,-0.046486799,Fri,0,9/18/2020,10,0
-0.032947599,-0.645459181,Fri,1,9/18/2020,10,0
-0.057110816,1.344132454,Fri,2,9/18/2020,10,0
-0.041209263,0.089809116,Fri,3,9/18/2020,10,0
0.443630996,0.270607016,Fri,4,9/18/2020,10,0
-0.044159857,0.282150156,Fri,5,9/18/2020,10,0
0.443196886,0.616153704,Fri,6,9/18/2020,10,0
-0.048130937,-0.037015171,Fri,7,9/18/2020,10,0
0.608291562,-0.317611973,Fri,8,9/18/2020,10,0
0.443630996,1.286012674,Fri,9,9/18/2020,10,0
1.360460401,0.568136492,Fri,10,9/18/2020,10,0
-0.056168482,-1.633177809,Fri,11,9/18/2020,10,0
0.605644637,-0.04645051,Fri,12,9/18/2020,10,0
-2.44044771,-0.215917062,Fri,13,9/18/2020,10,0
-0.457664842,-0.316565221,Fri,14,9/18/2020,10,0
-1.257059214,0.616139414,Fri,15,9/18/2020,10,0
0.824651463,-0.054366724,Fri,16,9/18/2020,10,0
0.03259512,0.261335503,Fri,17,9/18/2020,10,0
-0.042192794,0.268195744,Fri,18,9/18/2020,10,0
-1.635511221,0.269316476,Fri,19,9/18/2020,10,0
-2.67330902,0.282333795,Fri,20,9/18/2020,10,0
-0.054849215,0.268637244,Fri,21,9/18/2020,10,0
-0.014653914,0.089864282,Fri,22,9/18/2020,10,0
-0.051970614,-1.838873424,Fri,23,9/18/2020,10,0
-1.256633373,-0.047865811,Sat,0,9/19/2020,11,0
0.093272029,-0.786102308,Sat,1,9/19/2020,11,0
-0.023505697,0.268535359,Sat,2,9/19/2020,11,0
0.443766656,1.344794955,Sat,3,9/19/2020,11,0
-0.033341011,0.121346595,Sat,4,9/19/2020,11,0
-0.054283815,0.087050821,Sat,5,9/19/2020,11,0
-0.044404191,-0.028999316,Sat,6,9/19/2020,11,0
-1.256976412,-0.315364534,Sat,7,9/19/2020,11,0
0.605132329,-3.830202025,Sat,8,9/19/2020,11,0
-0.388094987,0.568264755,Sat,9,9/19/2020,11,0
0.035512112,0.767873696,Sat,10,9/19/2020,11,0
0.443603864,-0.314348569,Sat,11,9/19/2020,11,0
0.431542819,0.091381047,Sat,12,9/19/2020,11,0
0.443522469,0.091092636,Sat,13,9/19/2020,11,0
0.016733976,0.268365551,Sat,14,9/19/2020,11,0
-1.479409005,-0.78534756,Sat,15,9/19/2020,11,0
0.443658128,0.0885403,Sat,16,9/19/2020,11,0
1.361582305,0.616282311,Sat,17,9/19/2020,11,0
-1.257307621,-0.315272174,Sat,18,9/19/2020,11,0
0.020927152,-0.319120528,Sat,19,9/19/2020,11,0
-4.871653121,0.268365551,Sat,20,9/19/2020,11,0
0.043716151,-0.318006817,Sat,21,9/19/2020,11,0
0.727524285,0.088485134,Sat,22,9/19/2020,11,0
0.602129656,0.568375915,Sat,23,9/19/2020,11,0
0.602848288,0.087767978,Sun,0,9/20/2020,12,0
0.605324444,0.087878309,Sun,1,9/20/2020,12,0
0.021291776,0.268399513,Sun,2,9/20/2020,12,0
0.445937208,-0.076396315,Sun,3,9/20/2020,12,0
0.604278482,0.089975046,Sun,4,9/20/2020,12,0
-0.05038957,-0.320259641,Sun,5,9/20/2020,12,0
-0.036881724,0.08732665,Sun,6,9/20/2020,12,0
-0.053278659,-1.003478166,Sun,7,9/20/2020,12,0
-3.264376813,-0.604777354,Sun,8,9/20/2020,12,0
-0.053781237,-4.76671038,Sun,9,9/20/2020,12,0
-1.257260305,0.56842722,Sun,10,9/20/2020,12,0
-0.459134002,0.2828388,Sun,11,9/20/2020,12,0
-0.033223955,0.617454069,Sun,12,9/20/2020,12,0
0.02074484,0.08532443,Sun,13,9/20/2020,12,0
-1.770739173,0.618511508,Sun,14,9/20/2020,12,0
0.668675459,0.615167712,Sun,15,9/20/2020,12,0
-1.634550643,-0.313578898,Sun,16,9/20/2020,12,0
0.443522469,-0.318566365,Sun,17,9/20/2020,12,0
-0.515191561,-0.075061189,Sun,18,9/20/2020,12,0
-0.02185728,0.617739863,Sun,19,9/20/2020,12,0
-0.058681372,0.568350263,Sun,20,9/20/2020,12,0
-0.458920306,0.617311171,Sun,21,9/20/2020,12,0
0.050097071,-0.045797294,Sun,22,9/20/2020,12,0
0.018192472,0.086443996,Sun,23,9/20/2020,12,0
-0.05554026,1.344224701,Mon,0,9/21/2020,13,0
0.01801016,0.281691061,Mon,1,9/21/2020,13,0
-0.035111368,0.087216319,Mon,2,9/21/2020,13,0
0.030042752,0.870049974,Mon,3,9/21/2020,13,0
-0.035143794,0.086940489,Mon,4,9/21/2020,13,0
-0.054974859,-0.128466259,Mon,5,9/21/2020,13,0
0.376130604,-1.871452121,Mon,6,9/21/2020,13,0
0.606477138,0.085947503,Mon,7,9/21/2020,13,0
-0.054535104,0.086774991,Mon,8,9/21/2020,13,0
0.561474252,-0.083739513,Mon,9,9/21/2020,13,0
0.432443462,0.088043807,Mon,10,9/21/2020,13,0
0.606050214,-0.309361101,Mon,11,9/21/2020,13,0
0.605196367,0.568854762,Mon,12,9/21/2020,13,0
0.020927152,-0.046523089,Mon,13,9/21/2020,13,0
-0.044159857,0.56811939,Mon,14,9/21/2020,13,0
-0.015834152,0.08545101,Mon,15,9/21/2020,13,0
-0.068771756,-0.04485376,Mon,16,9/21/2020,13,0
-0.107779299,-0.048881924,Mon,17,9/21/2020,13,0
-0.096182462,0.277100101,Mon,18,9/21/2020,13,0
-0.041012556,0.617739863,Mon,19,9/21/2020,13,0
-0.048469732,0.265852394,Mon,20,9/21/2020,13,0
1.781878748,0.567956924,Mon,21,9/21/2020,13,0
-0.054597926,-1.818984172,Mon,22,9/21/2020,13,0
-0.072988788,-1.630891453,Mon,23,9/21/2020,13,0
-0.05667106,0.616167993,Tue,0,9/22/2020,14,0
0.022750272,-2.020390638,Tue,1,9/22/2020,14,0
-0.059875831,-1.818847359,Tue,2,9/22/2020,14,0
-0.062764817,-0.784844395,Tue,3,9/22/2020,14,0
-0.049373185,-0.047720651,Tue,4,9/22/2020,14,0
-2.441613247,-0.049026217,Tue,5,9/22/2020,14,0
-0.046493857,1.345222646,Tue,6,9/22/2020,14,0
0.432072609,-1.62841933,Tue,7,9/22/2020,14,0
0.825266566,-0.047176305,Tue,8,9/22/2020,14,0
-0.097763849,-0.030334442,Tue,9,9/22/2020,14,0
0.443278282,-0.046849697,Tue,10,9/22/2020,14,0
0.019104032,-0.599709533,Tue,11,9/22/2020,14,0
0.03259512,0.268263667,Tue,12,9/22/2020,14,0
-0.055728726,-1.627733424,Tue,13,9/22/2020,14,0
0.431066008,0.268297628,Tue,14,9/22/2020,14,0
0.030042752,0.284445636,Tue,15,9/22/2020,14,0
-0.047686599,0.085009682,Tue,16,9/22/2020,14,0
-0.044742986,-0.785607529,Tue,17,9/22/2020,14,0
0.661164101,-0.320690656,Tue,18,9/22/2020,14,0
0.448623266,0.268705167,Tue,19,9/22/2020,14,0
0.442247269,0.087930488,Tue,20,9/22/2020,14,0
0.605196367,-0.047031146,Tue,21,9/22/2020,14,0
0.443468205,-1.628247854,Tue,22,9/22/2020,14,0
-0.062360328,-0.048373867,Tue,23,9/22/2020,14,0
-0.45897373,0.615239161,Wed,0,9/23/2020,15,0
-1.256243019,0.614281749,Wed,1,9/23/2020,15,0
0.606541176,-0.310284706,Wed,2,9/23/2020,15,0
-0.036291606,0.568264755,Wed,3,9/23/2020,15,0
0.604833482,-0.319643904,Wed,4,9/23/2020,15,0
0.443278282,0.568213449,Wed,5,9/23/2020,15,0
0.602207903,-0.061709921,Wed,6,9/23/2020,15,0
-1.530295943,-0.686810994,Wed,7,9/23/2020,15,0
-0.126755941,-0.048627896,Wed,8,9/23/2020,15,0
-0.054680974,-1.62739047,Wed,9,9/23/2020,15,0
-0.049260253,-0.317273318,Wed,10,9/23/2020,15,0
0.031865872,0.282517433,Wed,11,9/23/2020,15,0
-0.108306427,-0.317119384,Wed,12,9/23/2020,15,0
-1.771444603,0.615453507,Wed,13,9/23/2020,15,0
-1.257544199,0.086113,Wed,14,9/23/2020,15,0
0.031865872,0.086113,Wed,15,9/23/2020,15,0
0.040981471,-0.046123902,Wed,16,9/23/2020,15,0
-0.036616891,0.284261998,Wed,17,9/23/2020,15,0
-0.053341481,0.089975046,Wed,18,9/23/2020,15,0
0.605623291,0.083630535,Wed,19,9/23/2020,15,0
0.60797137,0.088424841,Wed,20,9/23/2020,15,0
-0.02704641,0.089257457,Wed,21,9/23/2020,15,0
-0.096709591,0.089470328,Wed,22,9/23/2020,15,0
-0.053278659,0.308777723,Wed,23,9/23/2020,15,0
0.432602399,-0.046994856,Thu,0,9/24/2020,16,0
-0.495675446,0.281140145,Thu,1,9/24/2020,16,0
-0.45870661,0.268399513,Thu,2,9/24/2020,16,0
-0.053153015,0.282609252,Thu,3,9/24/2020,16,0
-1.256325822,-1.626175843,Thu,4,9/24/2020,16,0
-0.036611906,0.568375915,Thu,5,9/24/2020,16,0
-0.457451146,0.268467436,Thu,6,9/24/2020,16,0
-0.100399493,0.082803046,Thu,7,9/24/2020,16,0
-0.035308074,0.085947503,Thu,8,9/24/2020,16,0
-1.256798978,1.287336508,Thu,9,9/24/2020,16,0
0.823634176,0.089866893,Thu,10,9/24/2020,16,0
-0.45870661,0.085782005,Thu,11,9/24/2020,16,0
-0.040225731,-0.786186169,Thu,12,9/24/2020,16,0
-0.096182462,-0.046232771,Thu,13,9/24/2020,16,0
-0.103562267,1.144180371,Thu,14,9/24/2020,16,0
0.443658128,0.268671206,Thu,15,9/24/2020,16,0
-0.074570175,0.268637244,Thu,16,9/24/2020,16,0
-0.105670783,0.616996797,Thu,17,9/24/2020,16,0
-0.050577303,0.61582504,Thu,18,9/24/2020,16,0
0.605303098,0.083740867,Thu,19,9/24/2020,16,0
0.01162924,-0.061042358,Thu,20,9/24/2020,16,0
0.020927152,-1.630134098,Thu,21,9/24/2020,16,0
0.423278098,-0.046160192,Thu,22,9/24/2020,16,0
0.431013029,-0.045216658,Thu,23,9/24/2020,16,0
-1.634977566,0.092066021,Fri,0,9/25/2020,17,0
0.445068987,-0.3128708,Fri,1,9/25/2020,17,0
0.056684933,0.093039406,Fri,2,9/25/2020,17,0
-0.095128204,0.086002669,Fri,3,9/25/2020,17,0
0.430854092,-0.316318926,Fri,4,9/25/2020,17,0
2.989705126,-0.056369414,Fri,5,9/25/2020,17,0
-0.043176326,0.283068348,Fri,6,9/25/2020,17,0
0.432072609,0.084458023,Fri,7,9/25/2020,17,0
-0.027439823,1.02175377,Fri,8,9/25/2020,17,0
-0.193174188,0.093284568,Fri,9,9/25/2020,17,0
-1.256550571,0.616310891,Fri,10,9/25/2020,17,0
-0.090911172,-0.315857123,Fri,11,9/25/2020,17,0
-0.087748399,0.568367365,Fri,12,9/25/2020,17,0
-1.256964583,0.090515816,Fri,13,9/25/2020,17,0
-1.647956038,0.56811939,Fri,14,9/25/2020,17,0
-0.05038957,0.086499162,Fri,15,9/25/2020,17,0
-0.055810291,-0.053699161,Fri,16,9/25/2020,17,0
0.443441073,0.569829558,Fri,17,9/25/2020,17,0
-0.105670783,0.089650585,Fri,18,9/25/2020,17,0
0.444065107,-0.319428396,Fri,19,9/25/2020,17,0
-0.035111368,-0.316041844,Fri,20,9/25/2020,17,0
-0.70697547,0.616025096,Fri,21,9/25/2020,17,0
0.670227456,0.568145043,Fri,22,9/25/2020,17,0
0.02712576,0.519502775,Fri,23,9/25/2020,17,0
0.60351002,0.086113,Sat,0,9/26/2020,18,0
-0.062360328,0.568581136,Sat,1,9/26/2020,18,0
0.437634846,0.090155303,Sat,2,9/26/2020,18,0
0.031865872,0.085506175,Sat,3,9/26/2020,18,0
0.44710388,-0.053699161,Sat,4,9/26/2020,18,0
0.824746094,1.346128344,Sat,5,9/26/2020,18,0
-0.033341011,0.568298958,Sat,6,9/26/2020,18,0
0.44154184,-0.785330788,Sat,7,9/26/2020,18,0
-0.054849215,0.617311171,Sat,8,9/26/2020,18,0
-19.83003388,0.277559197,Sat,9,9/26/2020,18,0
-0.040338651,-0.045978743,Sat,10,9/26/2020,18,0
0.019104032,-0.785708162,Sat,11,9/26/2020,18,0
2.075674073,0.568264755,Sat,12,9/26/2020,18,0
-0.051376501,-0.315641616,Sat,13,9/26/2020,18,0
-0.147841099,0.568367365,Sat,14,9/26/2020,18,0
0.431330903,-1.135776341,Sat,15,9/26/2020,18,0
-0.013423217,0.085561341,Sat,16,9/26/2020,18,0
1.915348678,-0.78627003,Sat,17,9/26/2020,18,0
-0.054906837,-1.514074479,Sat,18,9/26/2020,18,0
0.443766656,-0.060374794,Sat,19,9/26/2020,18,0
-0.098818106,0.285226099,Sat,20,9/26/2020,18,0
-0.174197546,-0.055701851,Sat,21,9/26/2020,18,0
-0.053278659,-0.312470572,Sat,22,9/26/2020,18,0
-1.409309111,-0.046994856,Sat,23,9/26/2020,18,0
-0.054409459,0.071408633,Sun,0,9/27/2020,19,0
0.431066008,0.616239442,Sun,1,9/27/2020,19,0
0.824485858,-0.316688368,Sun,2,9/27/2020,19,0
0.443630996,0.567691848,Sun,3,9/27/2020,19,0
0.198913967,0.577842948,Sun,4,9/27/2020,19,0
0.431542819,0.088532995,Sun,5,9/27/2020,19,0
0.604982906,1.34564195,Sun,6,9/27/2020,19,0
-0.049486117,0.618197134,Sun,7,9/27/2020,19,0
